X,Y,OBJECTID,Project_ID,Project_Name,Project_Street_Number,Project_Street_Name,Project_Street_Suffix,Project_Zip_Code,Neighborhood,Project_Record_Type,Project_Status,Filed_Date,BPDA_Board_Approval,First_Building_Permit,COO_Permit_Date,Last_Project_Update_Date,Gross_Square_Footage,Description,Website_URL,Lat,Lon,Gross_Floor_Area,RnD_sqft,Shape
767979.973155975,2945038.1305224,21428,2525,2451 Washington Street,2451,Washington,Street,2119,Roxbury,Small Project,Construction Complete,2017/03/21 00:00:00+00,2017/05/11 00:00:00+00,2018/08/23 00:00:00+00,2021/02/11 00:00:00+00,2018/11/02 00:00:00+00,22630,"Madison Park Development Corporation (MPDC) is proposing to construct a four story building with 16 units, of which 7 will be Inclusionary Development Policy Units, 14 off-street sheltered parking spaces, two off-street open parking spaces and a loading space to provide homeownership opportunities in the Dudley Square area. The building will occupy frontage at the corner of Washington St. and Shawmut Ave. It is across from the Area B2B police station on Washington Street.",http://www.bostonplans.org/projects/development-projects/2451-washington-street,42.3286,-71.0865,22630,0,
779636.843214884,2959784.06034806,21429,2528,99 Sumner Street,99-111,Sumner,Street,2128,East Boston,Large Project,Construction Complete,2017/04/10 00:00:00+00,2017/07/13 00:00:00+00,2019/06/26 00:00:00+00,2021/08/16 00:00:00+00,2020/11/02 00:00:00+00,125678,"The revised project consists of  the construction of a 6-story mixed-use building with approx. 107 residential units, 6,500 square feet of shared work space, and 80 off-street parking spaces.",http://www.bostonplans.org/projects/development-projects/99-sumner-street,42.3689,-71.0431,125614,0,
752633.582588971,2954881.22861831,21430,2530,46 Hichborn Street,46,Hichborn,Street,2135,Brighton,Small Project,Construction Complete,2017/10/02 00:00:00+00,2017/12/14 00:00:00+00,2018/12/28 00:00:00+00,2021/05/26 00:00:00+00,2018/07/02 00:00:00+00,49679,"Proposal is a five-story, 46 condo units and 50 parking spaces totaling approximately 49,679 Square Feet.",http://www.bostonplans.org/projects/development-projects/46-hichborn-street,42.3558,-71.1431,49679,0,
771053.671076804,2952268.89263564,21431,2531,40 Trinity Place,40,Trinity,Place,2116,Back Bay,Large Project,Construction Complete,2015/12/28 00:00:00+00,2016/04/14 00:00:00+00,2019/07/10 00:00:00+00,2023/06/01 00:00:00+00,2023/02/13 00:00:00+00,379370,"40 Trinity Place is a proposed 31-story building with approximately 154 hotel rooms, approximately 146 residential units (including 7 income restricted units), and ground floor restaurant/retail space.",http://www.bostonplans.org/projects/development-projects/40-trinity-place,42.3484,-71.075,431273,0,
753077.838918298,2952077.00489606,21432,2532,Brighton Marine Health Center Residential Development,1465,Commonwealth,Avenue,2135,Brighton,Large Project,Construction Complete,2016/08/04 00:00:00+00,2016/09/15 00:00:00+00,2017/12/28 00:00:00+00,2020/01/24 00:00:00+00,2017/12/12 00:00:00+00,110000,,http://www.bostonplans.org/projects/development-projects/brighton-marine-health-center,42.3481,-71.1415,110000,0,
765455.530042142,2929938.86478923,21433,2533,Olmsted Green Residential,591,Morton,Street,2124,Mattapan,Large Project,Permitted / Under Construction,2016/03/17 00:00:00+00,2012/11/15 00:00:00+00,2013/06/26 00:00:00+00,,2022/10/13 00:00:00+00,629049,"The residential portions of the Olmsted Green development consist of 140 homeownership units, 100 mixed income rental units, 198 affordable rental units, and Hearth Senior Housing (59 units).",https://www.bostonplans.org/projects/development-projects/olmsted-green-residential,42.2872,-71.0961,629049,0,
770862.332548723,2936378.95984864,21434,2537,185-191 Geneva Avenue,185-191,Geneva,Avenue,2121,Dorchester,Small Project,Permitted / Under Construction,2018/01/31 00:00:00+00,2018/03/15 00:00:00+00,,,2020/09/03 00:00:00+00,31653,The proposal is for a five story residential development with 27 units and 8 parking spaces. The project is 200 feet from the Four Corners/Geneva Fairmount Line station.,http://www.bostonplans.org/projects/development-projects/185-191-geneva-avenue,42.3048,-71.076,31653,0,
773299.326362386,2941238.05741389,21435,2538,734 Dudley Street,734,Dudley,Street,2125,Dorchester,Small Project,Board Approved,2017/04/24 00:00:00+00,2017/06/15 00:00:00+00,2019/08/01 00:00:00+00,,2023/04/13 00:00:00+00,31273,"734 Dudley Street consists of 25 housing units, three commercial retail spaces and 5 parking spaces.  The housing units will have 4 Wendover Street as an address and entrance. The site has onsite parking for bicycles.",http://www.bostonplans.org/projects/development-projects/734-dudley-street,42.3181,-71.0669,28534,0,
763193.482728973,2939257.50658497,21436,1002,Brookside Studios,57-67,Brookside,Avenue,2130,Jamaica Plain,Small Project,Construction Complete,,,,,,29000,18 affordable artist live/work units (no change in use required so does not require Article 80) plus 5 commercial condo units for complementary arts uses.,,42.3128,-71.1043,29000,0,
761364.698984966,2942893.34248914,21437,1003,MSPCA Angell - Clinical Building,350,South Huntington,Avenue,,Jamaica Plain,Small Project,Construction Complete,,2004/08/19 00:00:00+00,,,,30982,New construction for one story addition (approx. 40K SF) for clinical use + site improvements.,,42.3228,-71.111,23000,0,
770418.169066966,2933206.26639089,21438,1004,Norwell Whitfield Homes,215,Norwell,Street,2124,Dorchester,Small Project,Construction Complete,,2004/09/01 00:00:00+00,,,,35000,Development of 22 affordable homeownership unit project on City-owned lots in the Four Corners area in Dorchester.,,42.2961,-71.0777,35000,0,
769067.897817388,2938228.67465314,21439,1005,Silver Building,447,Blue Hill,Ave,,Roxbury,Small Project,Construction Complete,,,,,,17000,"Rehabilitation of the Silver Building in Grove Hall into a 18,000 Square Feet Retail/Commercial Space.",,42.3099,-71.0826,17000,0,
770535.19639197,2936887.53035381,21440,1006,Dorchester Community Service Center,185,Columbia,Road,,Dorchester,Small Project,Construction Complete,2004/04/22 00:00:00+00,2004/06/03 00:00:00+00,,,,41000,"Develop a 45,000 SF social service facility on DND vacant lots totaling 42,000SF on Columbia Road, Dorchester,",,42.3062,-71.0772,41000,0,
775343.840317965,2953821.26748364,21441,1007,Lafayette Lofts,88,Kingston,Street,2111,Downtown,Small Project,Construction Complete,,2003/10/23 00:00:00+00,,,,60000,Rehab existing building to contain 42 residential units.,,42.3526,-71.0591,60000,0,
767621.31442447,2952106.27485064,21442,1008,360 Newbury Street - Virgin Records,360,Newbury,Street,2115,Back Bay,Large Project,Construction Complete,2004/01/20 00:00:00+00,2004/04/01 00:00:00+00,,,,76453,Convert floors 4-8 to 54 residential units. Virgin Records on ground floors.,,42.348,-71.0877,82003,0,
776429.641952142,2958127.16963297,21443,1010,44 Prince Street,44,Prince,Street,2113,North End,Large Project,Construction Complete,2003/11/14 00:00:00+00,2004/01/29 00:00:00+00,,,,66500,57 condominium units,,42.3644,-71.055,65850,0,
768977.439336881,2945662.51247573,21444,1011,Palmer Street,"17,19,19A","Palmer Street, 2-6A, 8 Warren",Street,2119,Roxbury,Small Project,Construction Complete,,,,,,26136,A 3 story building with ground floor retail/commercial and two floors of office space.,,42.3303,-71.0828,26136,0,
763891.587631971,2946148.39339373,21445,1013,School of the Museum of Fine Arts - Mission Hill Building,35,Pontiac,Street,,Mission Hill,Small Project,Construction Complete,,2004/04/27 00:00:00+00,,,,58200,"20,000 SF SPR at 35 Pontiac Street.",,42.3317,-71.1016,40000,0,
775835.678901225,2952803.41551672,21446,1014,210 South Street Residential,210,South,Street,2111,Leather District,Large Project,Construction Complete,2004/01/24 00:00:00+00,2004/04/27 00:00:00+00,,,,116280,"Change of use Office to Residential, yeilding approximately 54 units  and ground floor retail.  Developer has agreed to provide affordable housing component.",,42.3498,-71.0573,106000,0,
770081.207470551,2946651.88910589,21447,1017,47 Thorndike Street,47,Thorndike,Street,2118,Roxbury,Small Project,Construction Complete,,,,,,2630,"vacant, 3-story brick building and abutting site to be developed into supportive office space for Rosie's Place",,42.333,-71.0787,2630,0,
756237.915603384,2952710.02889247,21448,1019,214 Harvard Avenue,214,Harvard,Avenue,,Allston,Small Project,Construction Complete,,,,,,15000,"Staples retail store to this location. App. 15,000 sq.ft.",,42.3498,-71.1298,15000,0,
778142.249091223,2956241.13436306,21449,102,New England Aquarium,250,Atlantic,Avenue,,Downtown,Large Project,Construction Complete,1995/01/01 00:00:00+00,,,,,165000,"Proposed expansion of the New England Aquarium includes west wing addition, new east wing, public access/ open space, an auditorium, and renovations to the existing structure.",,42.3592,-71.0487,165000,,
756965.590657219,2916052.23475415,21450,1020,Glenwood Avenue Project,2,Glennwood,Avenue,2136,Hyde Park,Small Project,Construction Complete,2003/09/09 00:00:00+00,2003/10/23 00:00:00+00,,,,41400,10 two unit townhouse buildings Small Project Review.,,42.2492,-71.1277,34000,0,
769439.978109971,2945081.69736439,21451,1023,208 Dudley Street,208,Dudley,Street,,Roxbury,Small Project,Construction Complete,,,,,,0,LDA regarding BRA property disposed of in 1996 to George Herbert. Stanley and Barbara Byfield will purchase property and turn into Pepper Pot Restaurant.,,42.3287,-71.0811,0,0,
772967.502879053,2948014.70560598,21452,1026,BioSquare I - BioSquare Research Building III (Parcel D),670,Albany,Street,2118,South End,Large Project,Construction Complete,,2003/12/18 00:00:00+00,,2005/01/01 00:00:00+00,2005/11/14 00:00:00+00,160000,"Proposal for Parcel D includes 160,000 Office/R&D building.  Previously reviewed and approved under Article 31 for Parcels A, B, C, D, E and F in 1991.",,42.3367,-71.068,160000,160000,
777036.603664726,2945448.24059457,21453,1028,309 Old Colony Condominiums,309,Old Colony,Avenue,,South Boston,Small Project,Construction Complete,2004/01/14 00:00:00+00,2004/02/24 00:00:00+00,,,,31590,"Proposal calls for the construction of 16 condominium units above existing retail space, with a total 4 storiesand 27 parking spaces. Greg Donovan is now proposing to do 9 condos.",,42.3296,-71.053,31590,0,
776594.449693382,2947268.06307039,21454,1029,Old Colony Square,152,Old Colony,Avenue,2127,South Boston,Small Project,Construction Complete,2004/07/13 00:00:00+00,2005/04/28 00:00:00+00,,,2005/09/20 00:00:00+00,28920,A 20 unit project with 1 commercial unit at the ground floor and 21 parking spaces.,,42.3346,-71.0546,26885,0,
777481.871146888,2963599.13801973,21455,103,Building 114,,"16th Street, CNY",,2129,Charlestown,Large Project,Construction Complete,,,,,,90000,"Building completed, MGH owned. PUC committee meeting to determine FPA for first floor per C. 91 regulations.",,42.3794,-71.051,90000,,
752093.307750881,2954806.08867672,21456,1032,Nolan Brother Self Storage,145,North Beacon,Street,,Brighton,Large Project,Construction Complete,2004/05/07 00:00:00+00,2004/08/05 00:00:00+00,,,,259500,"259,000 GSF self storage center. Bldg permit # 3935",,42.3556,-71.1451,259000,0,
755943.142570883,2933357.79430306,21457,1035,Hebrew Rehabilitation Center,1200,Centre,Street,2131,Roslindale,Small Project,Prefile (Default),,,,,,0,"Redevelopment and expansion program, no defined plans yet.",,42.2967,-71.1312,0,0,
768463.507293895,2945696.44711915,21458,1037,CBES Headquarters Building,2301-2315,Washington,Street,,Roxbury,Small Project,Construction Complete,2004/02/04 00:00:00+00,2004/03/11 00:00:00+00,,,,24200,"Project will consist of the demolition of existing building, and construct a three story headquarter office building for CBES with 53 parking spaces",,42.3304,-71.0847,24200,0,
768625.212351054,2945806.56271257,21459,1038,2261-2285 Washington Street(Walgreens Proposal),2261-2285,Washington,Street,,Roxbury,Small Project,Construction Complete,2004/08/13 00:00:00+00,2005/04/28 00:00:00+00,,,,23511,Proposal calls for a Walgreens in existing building at 2261 Washington Street with approximately 30 surface level parking spaces.,,42.3307,-71.0841,23511,0,
778506.208993226,2948772.27790973,21460,1043,321 West Second Street Condominiums,208,Bolton,Street,2127,South Boston,Small Project,Construction Complete,2004/02/09 00:00:00+00,2004/04/01 00:00:00+00,,,,15000,15 unit condo project with 24 parking spaces.,,42.3387,-71.0475,23000,0,
778270.855461299,2931934.55371122,21461,1044,Stop and Shop - 545 Freeport Street,,Freeport,Street,,Dorchester,NPC,Construction Complete,,2004/05/13 00:00:00+00,,,,90365,,,42.2925,-71.0487,0,0,
772342.715414718,2948594.63292381,21462,1045,700 Harrison Avenue,700,Harrison,Avenue,2118,South End,NPC,Construction Complete,2004/04/29 00:00:00+00,2005/02/03 00:00:00+00,,,,107868,"A new five-story building with 84 units of which 50 are affordable, 5,575 s.f. of retail space, 180 parking space & community garden",,42.3383,-71.0703,107868,0,
766585.904749885,2948165.48089498,21463,1046,Northeastern University - West Village Residence Hall F,40,Leon,Street,2215,Fenway,Large Project,Construction Complete,2004/04/02 00:00:00+00,2004/08/19 00:00:00+00,,,2004/08/05 00:00:00+00,135000,"135K dormitory and classroom facility, new John D. O'Bryant African American Institute, and acquisition of 10 Coventry Street.",,42.3372,-71.0916,135000,0,
773799.798130468,2943864.4714524,21464,1048,South Bay Expansion Project,1100,Massachusetts,Avenue,,Dorchester,Large Project,Construction Complete,2004/02/02 00:00:00+00,2004/06/24 00:00:00+00,,,,106937,"Redevelopment of the former AGAR Beef Supply Site into a Super Stop+Shop Supermarket, gas only service station, retail bank/food center.",,42.3253,-71.065,175000,0,
775013.062436223,2960306.40116689,21465,105,Tudor Wharf Hotel,34-44,Charles River,Avenue,2129,Charlestown,Large Project,Construction Complete,,2000/12/21 00:00:00+00,,,,119768,Extended stay hotel with 168 suites and 54 parking spaces.,,42.3704,-71.0602,119768,,
762169.204265714,2938487.48647147,21466,1050,131 Green Street,131,Green,Street,2130,Jamaica Plain,Small Project,Construction Complete,2004/04/16 00:00:00+00,2004/12/02 00:00:00+00,,,,22270,Proposal resulted in the construction of 21 units and 27 parking spaces.,,42.3107,-71.1081,22270,0,
761080.676259056,2945880.3374994,21467,1052,41-45 South Huntington Avenue,41-45,South Huntington,Avenue,,Mission Hill,Small Project,Construction Complete,2004/04/06 00:00:00+00,2004/05/13 00:00:00+00,,,,16474,Proposal calls for the construction of 17 residential units and 18 parking spaces.,,42.331,-71.112,16474,0,
749395.046087056,2920174.8121389,21468,1053,Cheriton Heights Senior Housing,20,Cheriton,Road,2132,West Roxbury,NPC,Construction Complete,2005/07/18 00:00:00+00,2009/05/14 00:00:00+00,2011/12/27 00:00:00+00,2013/06/07 00:00:00+00,,78000,"Project includes the development of a six (6) story, seventy (70) unit affordable elderly housing complex with fifty-nine (59) off-street parking spaces.",,42.2606,-71.1556,73580,0,
764059.377322644,2950740.95212197,21469,1054,Fenway Mixed-Use PDA Amendment (AKA Fenway Triangle),1365,Boylston,Street,2215,Fenway,Large Project,Construction Complete,,2004/04/01 00:00:00+00,,,,651000,Proposed First  Amendment to PDA No. 56 to permit 170 units to be purchased and used by Harvard University for Graduate/Faculty housing. Related filing by Harvard for IMP Amendment under 80D.,,42.3443,-71.1009,651000,0,
762447.928445801,2942570.32541864,21470,1055,Wyman Street Residences,11,Wyman,Street,2130,Jamaica Plain,Small Project,Construction Complete,2004/02/12 00:00:00+00,2004/08/19 00:00:00+00,,,,31000,Redevelopment of former Language & Cognitive Development Center into 22 unit condos with 33 parking spaces and  three affordable units to be located in newly constructed 3 3-decker buildings on Forbes Street.,,42.3219,-71.107,32772,0,
763563.661122471,2941081.35037823,21471,1058,Marbury Terrace,18,Marbury,Terrace,,Jamaica Plain,Small Project,Prefile (Default),,,,,,24000,"Development of former warehouse site into 29 units of housing, which will include affordable artist space lofts.",,42.3178,-71.1029,24000,0,
771549.675334141,2944982.82682723,21472,1059,Allied Waste Systems Transfer Station,51,Kemble,Street,,Roxbury,Small Project,Construction Complete,,,,,,40000,"Expansion of the existing waste transfer station in Roxbury into a state of the art facility. The proposed project is under 20,000 GSF, and thus will only require design review board of appeals approval.  The project was presented to the community.",,42.3284,-71.0733,40000,0,
771480.834592551,2947934.33864072,21473,106,57 East Concord Street,,Harrison,Avenue,,South End,Small Project,Construction Complete,,,,,,0,"Conversion of a 4 story building into 9 market rate residential units with an average floor area of 1,200 sq. ft. each.  Development with 9 basement parking spaces.",,42.3365,-71.0735,0,,
770861.338456228,2947457.49445006,21474,1060,687-697 Massachusetts Avenue,691,Massachusetts,Avenue,2118,Roxbury,Small Project,Construction Complete,2004/04/05 00:00:00+00,2009/11/17 00:00:00+00,2010/04/16 00:00:00+00,2012/03/30 00:00:00+00,,37049,"Construct 3 connected residential row houses with 30 condo units, 12 surface parking spaces & 6 SRO at 38-42 Upton St.",,42.3352,-71.0758,36954,0,
769471.655868143,2938631.52128839,21475,1065,Nu Life Development,71-79,Brunswick,Street,,Dorchester,Small Project,Construction Complete,2004/04/05 00:00:00+00,2004/05/13 00:00:00+00,,,2004/05/13 00:00:00+00,24112,Proposal calls for the construction of 10 townhouses along Brunwick St and 6 residential condominiums above a ground floor retail space with 16 parking spaces.,http://www.bostonplans.org/projects/development-projects/nu-life-development,42.311,-71.0811,24712,0,
758332.4563618,2931436.80831565,21476,1067,4040 Washington Street,4040,Washington,Street,2131,Roslindale,Small Project,Construction Complete,2004/03/23 00:00:00+00,2004/04/27 00:00:00+00,,,,37226,28 two-bedroom units in 5 buildings w/ 52 parking spaces,,42.2914,-71.1224,45556,0,
769312.327118561,2949053.32098281,21477,1068,263-265 Northampton St.,19,Father Francis Gilday,Street,2118,Roxbury,Small Project,Construction Complete,2006/11/16 00:00:00+00,2010/08/17 00:00:00+00,2010/11/16 00:00:00+00,,,16000,"Project includes a 35,832 square feet, six-story plus penthouse building with 37 condominium units, of which 7 are affordable artist live-work units.",,42.3396,-71.0815,45739,0,
746469.989601225,2955111.36103205,21478,1070,Residence at Bigelow Court,142,Bigelow,Street,,Brighton,Small Project,Construction Complete,2004/04/28 00:00:00+00,2004/06/24 00:00:00+00,,,,44103,Development of  a multi unit residential development consisting of 26 units and 54 parking spaces.,,42.3565,-71.1659,44103,0,
772140.388391554,2924286.49321997,21479,1071,Rivers Edge Condominium Project,40,River,Street,2126,Mattapan,NPC,Construction Complete,2004/06/18 00:00:00+00,2008/06/24 00:00:00+00,2006/11/02 00:00:00+00,2008/02/21 00:00:00+00,,66000,Project includes the construction of sixty-two (62) rental units.,,42.2716,-71.0715,88000,0,
768200.013726383,2944273.90370439,21480,1072,34-36 St. James Street in Roxbury,36-40,St. James,Street,2119,Roxbury,Small Project,Construction Complete,,,,,,7000,"Project consists of approximately 10,442 SF which will be sub-divided into two equal parcels for the construction of 4 market rate housing units. Redevelopment of this site requires BRA approval because it was previously owned by the BRA.",,42.3265,-71.0857,7000,0,
